Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
9;Ouest-Sud;220000.0;75;19.0;1.0;11579
3;Ouest-Sud;1210000.0;75;41.0;1.0;29512
8;Ouest-Sud;288000.0;75;28.0;1.0;10286
9;Ouest-Sud;500000.0;75;18.0;1.0;27778
7;Ouest-Sud;408200.0;75;35.0;1.0;11663
2;Ouest-Sud;245000.0;75;25.0;1.0;9800
8;Ouest-Sud;125170.0;75;12.0;1.0;10431
9;Ouest-Sud;450133.0;75;40.0;1.0;11253
2;Ouest-Sud;242900.0;75;19.0;1.0;12784
9;Ouest-Sud;252041.94;75;19.0;1.0;13265
9;Ouest-Sud;320000.0;75;32.0;1.0;10000
9;Ouest-Sud;204000.0;75;17.0;1.0;12000
8;Ouest-Sud;422000.0;75;36.0;1.0;11722
2;Ouest-Sud;216300.0;75;20.0;1.0;10815
2;Ouest-Sud;400000.0;75;30.0;1.0;13333
9;Ouest-Sud;189000.0;75;12.0;1.0;15750
9;Ouest-Sud;205000.0;75;14.0;1.0;14643
9;Ouest-Sud;250000.0;75;15.0;1.0;16667
9;Ouest-Sud;270000.0;75;25.0;1.0;10800
9;Ouest-Sud;328574.03;75;25.0;1.0;13143
9;Ouest-Sud;277400.0;75;30.0;1.0;9247
9;Ouest-Sud;310000.0;75;26.0;1.0;11923
2;Ouest-Sud;173750.0;75;21.0;1.0;8274
3;Ouest-Sud;158600.0;75;16.0;1.0;9912
2;Ouest-Sud;230000.0;75;24.0;1.0;9583
2;Ouest-Sud;470780.0;75;49.0;1.0;9608
9;Ouest-Sud;403611.0;75;32.0;1.0;12613
9;Ouest-Sud;230000.0;75;22.0;1.0;10455
2;Ouest-Sud;570000.0;75;35.0;1.0;16286
9;Ouest-Sud;300010.0;75;25.0;1.0;12000
3;Ouest-Sud;12200.0;75;29.0;1.0;421
9;Ouest-Sud;314000.0;75;29.0;1.0;10828
9;Ouest-Sud;340000.0;75;27.0;1.0;12593
2;Ouest-Sud;320000.0;75;32.0;1.0;10000
9;Ouest-Sud;270000.0;75;25.0;1.0;10800
3;Ouest-Sud;900000.0;75;61.0;1.0;14754
9;Ouest-Sud;136000.0;75;11.0;1.0;12364
2;Ouest-Sud;246820.0;75;18.0;1.0;13712
9;Ouest-Sud;128000.0;75;10.0;1.0;12800
2;Ouest-Sud;237600.0;75;16.0;1.0;14850
9;Ouest-Sud;410000.0;75;28.0;1.0;14643
9;Ouest-Sud;292500.0;75;28.0;1.0;10446
9;Ouest-Sud;219785.0;75;25.0;1.0;8791
9;Ouest-Sud;31000.0;75;8.0;1.0;3875
9;Ouest-Sud;390000.0;75;30.0;1.0;13000
3;Ouest-Sud;245000.0;75;24.0;1.0;10208
